watcher_name,movie_title,rating
michael,Sinners,5
michael,Zoo_2,3
michael,Captain_AmericaBNW,3
michael,Thunderbolts,4
michael,AvatarWOF,NULL
channa,KPDH,4
channa,Sinners,3
channa,Zoo_2,4
channa,Captain_AmericaBNW,4
channa,Thunderbolts,4
channa,AvatarWOF,4
dimitri,KPDH,5
dimitri,Sinners,5
dimitri,Zoo_2,3
dimitri,Captain_AmericaBNW,2
dimitri,Thunderbolts,2
dimitri,AvatarWOF,4
chris,KPDH,3
chris,Sinners,3
chris,Zoo_2,1
chris,Captain_AmericaBNW,3
chris,Thunderbolts,4
chris,AvatarWOF,4
kathy,KPDH,NULL
kathy,Sinners,4
kathy,Zoo_2,3
kathy,Captain_AmericaBNW,5
kathy,Thunderbolts,5
kathy,AvatarWOF,3
michael,KPDH,4
