"","avg_opp_rating"
"1",1605
"2",1561
"3",1665
"4",1574
"5",1588
"6",1519
"7",1538
"8",1468
"9",1635
"10",1554
"11",1468
"12",1506
"13",1498
"14",1515
"15",1484
"16",1386
"17",1499
"18",1480
"19",1508
"20",1411
"21",1470
"22",1373
"23",1556
"24",1422
"25",1363
"26",1507
"27",1493
"28",1522
"29",1389
"30",1224
"31",1317
"32",1449
"33",1328
"34",1686
"35",1347
"36",1388
"37",1492
"38",1539
"39",1430
"40",1480
"41",1612
"42",1225
"43",1303
"44",1422
"45",1236
"46",1358
"47",1465
"48",1461
"49",1378
"50",1480
"51",1356
"52",1495
"53",1345
"54",1357
"55",1406
"56",1414
"57",1363
"58",1391
"59",1319
"60",1330
"61",1385
"62",1186
"63",1350
"64",1411
